back_x,back_y,back_z,thigh_x,thigh_y,thigh_z,id
-0.8021,-0.0001,-0.2749,-0.3702,0.1434,0.6164,1
-0.9204,0.0396,-0.3263,-0.3324,0.051,0.655,2
-0.9449,-0.0551,0.313,-0.9584,0.0927,0.321,3
-1.0197,-0.002,-0.0143,-0.9062,0.0186,0.1466,4
-0.9153,0.0049,-0.13,-0.321,0.0129,0.8086,5
-0.9478,-0.0288,-0.2381,-0.5053,0.0203,0.5663,6
-0.9223,-0.0286,-0.064,-0.3813,0.2075,0.6339,7
-0.8005,0.047,-0.1365,-0.5435,0.0218,0.4399,8
-0.8098,-0.086,-0.2228,-0.4896,0.1049,0.5143,9
-0.8777,0.0445,-0.0237,-0.4437,0.0169,0.5753,10
-0.849,0.058,-0.1129,-0.6292,0.0029,0.405,11
-0.8848,0.0453,-0.2832,-0.5175,0.014,0.6197,12
-0.8038,0.0189,-0.2287,-0.4515,0.0707,0.6307,13
-0.9293,0.005,-0.0803,-0.4686,0.1499,0.4863,14
-0.9148,-0.0726,-0.0852,-0.6436,-0.0219,0.386,15
-0.8209,-0.0109,-0.0305,-0.878,-0.013,-0.3435,16
-0.7624,-0.0408,-0.1631,-0.8118,-0.1166,-0.3184,17
-0.867,-0.1537,-0.203,-0.9411,-0.1021,-0.2923,18
-0.8916,-0.0774,-0.5763,-0.9187,-0.1944,-0.4734,19
-0.8836,-0.0782,-0.1469,-1.11,-0.201,-0.3263,20
-1.0133,-0.0612,-0.2989,-1.0377,-0.0851,-0.1692,21
-0.9308,-0.078,-0.3351,-1.0463,-0.2696,-0.0873,22
